"solution","scenario","budget_proportion","budget_units","objective","n_selected","cost","boundary","mean_representation","targets_met","species_represented","shortfall"
"budget_calibration","Minimal",0.05,36160,67.7024100670918,6143,36159.9804644585,6556000,0.12449651445116,59.5667870036101,246,67.7024100670918
"budget_calibration","Current",0.1,72320,39.4308783897658,9270,72319.9076379538,10122500,0.162016300082937,76.1732851985559,251,39.4308783897658
"budget_calibration","CBD_Aichi",0.17,122944,32.1128328010465,14109,122942.933953643,14707000,0.202350384092475,84.115523465704,252,32.1128328010465
"budget_calibration","Post2020_30x30",0.3,216960,31.7718533990592,18505,216958.444130778,51040000,0.150199539617436,84.8375451263538,252,31.7718533990592
"budget_calibration","Enhanced",0.4,289280,31.7718533990592,18729,289270.486447692,59650500,0.114446939921379,84.8375451263538,252,31.7718533990592
"budget_calibration","Ambitious",0.5,361600,31.7718533990592,18960,361596.779565454,62988500,0.108887696172749,84.8375451263538,252,31.7718533990592
